                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0743,                 1.0178,                 1.4077,                0.59699,                   0.55,                0.54408,                0.23058,                 2.1549,                 1.5767,                 2.5255,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.0688,                 1.0014,                 1.4039,                0.60659,                 0.6275,                0.59682,                0.23633,                 2.1506,                 1.5149,                 2.5412,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.0645,                0.98682,                  1.401,                 0.6024,                0.54166,                0.52943,                0.21185,                 2.1551,                 1.6172,                  2.548,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.0469,                0.97028,                 1.3838,                0.66536,                  0.605,                0.62909,                0.27105,                 2.0713,                 1.3755,                 2.4413,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.0353,                0.94734,                  1.378,                0.62793,                0.56536,                0.58345,                 0.2257,                 2.1695,                 1.5372,                 2.5859,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.0262,                0.94779,                 1.3725,                0.60523,                0.54426,                0.55824,                 0.2319,                  2.064,                 1.6112,                 2.4447,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.0043,                0.91835,                 1.3539,                0.56567,                    0.6,                0.52319,                0.22839,                 2.0715,                 1.5352,                 2.4846,              0.0016139,              0.0016139,              0.0016139
                     41,                   1.02,                0.92942,                 1.3637,                 0.6072,                 0.5925,                0.57425,                0.23032,                 2.0782,                 1.4756,                 2.4816,               0.001604,               0.001604,               0.001604
                     42,                 1.0051,                0.91446,                 1.3511,                0.58056,                  0.605,                0.56075,                0.22952,                 2.1511,                 1.4987,                 2.5432,              0.0015941,              0.0015941,              0.0015941
                     43,                0.98793,                0.89304,                 1.3371,                0.65787,                 0.5675,                0.59081,                0.25044,                 2.0722,                 1.4361,                 2.4367,              0.0015842,              0.0015842,              0.0015842
                     44,                0.98123,                0.88802,                  1.335,                0.60352,                0.60888,                0.59558,                0.23387,                 2.1287,                 1.4469,                 2.5262,              0.0015743,              0.0015743,              0.0015743
                     45,                0.98614,                0.87327,                 1.3324,                0.57167,                  0.615,                0.56007,                0.21961,                 2.2013,                 1.5448,                 2.6563,              0.0015644,              0.0015644,              0.0015644
                     46,                0.96614,                 0.8632,                 1.3195,                 0.6193,                 0.6225,                0.59298,                0.24011,                 2.1411,                 1.4149,                  2.589,              0.0015545,              0.0015545,              0.0015545
                     47,                0.96322,                0.86163,                 1.3139,                0.66125,                0.56608,                0.60532,                0.25157,                 2.1142,                 1.4713,                 2.5114,              0.0015446,              0.0015446,              0.0015446
                     48,                 0.9714,                0.86252,                 1.3221,                0.61578,                   0.51,                0.55452,                0.24946,                 1.9632,                 1.5298,                 2.3731,              0.0015347,              0.0015347,              0.0015347
                     49,                0.93614,                0.83929,                 1.2948,                0.57962,                 0.5375,                 0.5376,                0.21205,                 2.0979,                 1.5896,                 2.5689,              0.0015248,              0.0015248,              0.0015248
                     50,                0.94739,                0.83194,                 1.3064,                0.64826,                  0.565,                0.59216,                0.25776,                 2.0626,                 1.4619,                 2.4837,              0.0015149,              0.0015149,              0.0015149
                     51,                0.91041,                 0.7966,                 1.2804,                0.59295,                0.62273,                0.57537,                0.25066,                  2.043,                 1.4694,                  2.512,               0.001505,               0.001505,               0.001505
                     52,                0.92358,                0.81466,                 1.2813,                0.64583,                   0.58,                0.57662,                0.22423,                 2.2124,                  1.475,                 2.6992,              0.0014951,              0.0014951,              0.0014951
                     53,                0.94313,                0.81382,                 1.3089,                0.58948,                0.61028,                0.58712,                0.24684,                 2.0872,                 1.5813,                 2.5268,              0.0014852,              0.0014852,              0.0014852
                     54,                0.94601,                0.82083,                 1.3009,                0.59358,                 0.6475,                  0.585,                 0.2394,                 2.1615,                 1.4482,                  2.669,              0.0014753,              0.0014753,              0.0014753
                     55,                0.91619,                 0.7944,                 1.2793,                 0.6135,                  0.627,                0.58826,                0.24166,                 2.1109,                 1.4215,                 2.5844,              0.0014654,              0.0014654,              0.0014654
                     56,                0.89723,                0.79274,                 1.2699,                0.54393,                 0.5675,                0.51872,                0.21192,                 2.1741,                 1.5359,                 2.6261,              0.0014555,              0.0014555,              0.0014555
                     57,                0.91499,                0.79196,                 1.2794,                0.62462,                  0.555,                0.55257,                 0.2409,                 2.0763,                 1.5489,                 2.5006,              0.0014456,              0.0014456,              0.0014456
                     58,                0.88253,                0.76407,                 1.2699,                 0.6282,                0.57026,                0.55545,                 0.2347,                 2.0576,                 1.5712,                 2.5313,              0.0014357,              0.0014357,              0.0014357
                     59,                0.88523,                0.76817,                 1.2621,                0.56255,                  0.555,                0.53475,                0.20838,                 2.2113,                   1.54,                 2.6776,              0.0014258,              0.0014258,              0.0014258
                     60,                0.87758,                0.74327,                 1.2505,                0.57606,                0.59449,                0.55686,                0.23113,                 2.1314,                 1.5621,                 2.6404,              0.0014159,              0.0014159,              0.0014159
                     61,                0.85551,                0.72194,                 1.2456,                0.56643,                 0.6025,                0.57817,                0.25517,                 2.0491,                 1.4535,                 2.5111,               0.001406,               0.001406,               0.001406
                     62,                 0.8666,                0.74228,                 1.2502,                0.64082,                0.54863,                0.54331,                0.22323,                 2.2004,                 1.4616,                 2.6886,              0.0013961,              0.0013961,              0.0013961
                     63,                0.85057,                0.72846,                 1.2426,                0.64885,                  0.605,                0.58104,                0.25083,                  2.087,                 1.5231,                 2.5464,              0.0013862,              0.0013862,              0.0013862
                     64,                0.85203,                0.71679,                 1.2381,                0.59825,                0.61798,                0.56313,                0.25018,                 2.0407,                   1.47,                 2.5285,              0.0013763,              0.0013763,              0.0013763
                     65,                0.83099,                0.70884,                 1.2267,                0.59947,                 0.6275,                0.58736,                0.24587,                 2.1088,                 1.5651,                 2.6233,              0.0013664,              0.0013664,              0.0013664
                     66,                0.83179,                0.71209,                 1.2294,                0.62318,                  0.605,                0.59197,                0.24756,                 2.0713,                 1.3676,                 2.6272,              0.0013565,              0.0013565,              0.0013565
                     67,                0.83625,                0.69908,                 1.2269,                0.55125,                   0.61,                0.55293,                0.24473,                 2.0616,                  1.515,                 2.5513,              0.0013466,              0.0013466,              0.0013466
                     68,                0.84553,                0.72325,                 1.2298,                0.61693,                 0.5625,                0.56209,                0.24676,                 2.1091,                 1.5474,                 2.6809,              0.0013367,              0.0013367,              0.0013367
                     69,                0.84141,                0.70121,                 1.2215,                0.58418,                0.57599,                0.53456,                0.23556,                 2.0982,                 1.6123,                 2.5711,              0.0013268,              0.0013268,              0.0013268
                     70,                 0.8237,                0.69132,                 1.2153,                0.57047,                  0.635,                0.55527,                0.23887,                 2.1189,                  1.539,                 2.6461,              0.0013169,              0.0013169,              0.0013169
                     71,                0.79745,                0.67453,                 1.2052,                0.61105,                 0.6225,                0.58851,                0.24821,                 2.0991,                 1.4804,                 2.6337,               0.001307,               0.001307,               0.001307
                     72,                0.80201,                 0.6646,                  1.196,                0.60249,                0.65175,                0.58971,                0.25319,                 2.0782,                 1.5389,                 2.6302,              0.0012971,              0.0012971,              0.0012971
                     73,                0.80203,                0.66737,                 1.1985,                 0.6995,                   0.56,                0.60323,                0.25781,                 2.0756,                 1.4958,                 2.5701,              0.0012872,              0.0012872,              0.0012872
                     74,                0.79787,                0.67029,                 1.2008,                0.61452,                0.63766,                0.60243,                0.24569,                 2.1401,                 1.4872,                 2.6133,              0.0012773,              0.0012773,              0.0012773
                     75,                0.79435,                0.65761,                 1.1978,                0.65299,                   0.55,                0.57057,                0.23517,                 2.1502,                 1.5614,                 2.6684,              0.0012674,              0.0012674,              0.0012674
                     76,                0.79748,                 0.6602,                 1.1968,                0.57969,                   0.59,                0.55291,                0.22247,                 2.2211,                 1.5407,                  2.779,              0.0012575,              0.0012575,              0.0012575
                     77,                0.82125,                0.67209,                 1.2093,                0.70246,                 0.5425,                0.58151,                0.25396,                 2.0581,                   1.57,                 2.5667,              0.0012476,              0.0012476,              0.0012476
                     78,                0.79547,                0.66302,                 1.1921,                0.67244,                 0.5475,                0.57835,                0.24833,                 2.0952,                 1.5438,                 2.6138,              0.0012377,              0.0012377,              0.0012377
